DOMINION BUREAU OF STATISTICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
7,"Influenza, epidemic",43,66,25,8667,36562,9003,..,..,..,9,33,..,31,31,16,-,-,-,-,-,-,-,2,3,2,-,2,-,-,-,..,..,..,1,-,-,7
8,Measles,246,204,182,41083,43477,47178,-,2,1,-,-,1,13,19,9,..,..,1,52,63,15,156,76,37,9,10,9,..,..,7,7,12,34,9,22,24,8
9,"Meningitis, meningococcal",2,5,6,198,208,186,2,2,-,..,..,..,-,1,-,-,-,-,-,-,1,-,2,1,-,-,1,-,-,-,..,..,..,-,-,-,9
10,Mumps,127,100,116,21551,19830,28205,-,1,1,-,-,-,12,3,2,..,..,..,14,16,15,60,46,64,9,8,11,..,..,3,..,..,3,32,26,19,10
11,"Poliomyelitis, epidemic: 4",20,38,218,205,516,1074,-,-,-,-,-,-,-,1,7,3,-,6,7,4,26,4,18,47,2,1,5,-,-,11,2,3,20,2,11,8,11
12,(a) With paralysis,15,22,85,117,273,443,-,-,-,-,-,-,-,1,5,1,-,1,5,3,2,4,14,24,2,1,2,-,-,7,1,1,1,2,2,5,12
13,(b) Without paralysis,3,16,96,73,195,596,-,-,-,-,-,-,-,-,-,2,-,6,-,1,4,-,4,23,-,-,3,-,-,4,1,2,1,-,9,8,13
14,Rubella,71,88,28,49029,17377,9005,1,-,-,..,..,..,-,-,2,..,..,..,25,18,4,25,23,7,-,1,-,1,1,..,6,13,8,13,32,7,14
15,"Scarlet fever, etc. 5 **",77,58,74,8794,6362,9382,-,-,3,3,15,2,35,14,10,1,-,1,7,8,21,19,17,9,-,-,3,3,1,8,6,2,5,3,1,11,15
16,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,"Tuberculosis: 4,6",213,132,186,6034,6332,6927,6,4,4,1,-,1,-,1,3,7,9,16,58,65,71,56,23,15,40,13,17,11,2,6,18,-,12,16,15,34,17
18,(a) Pulmonary,142,93,157,4885,5179,5558,6,4,3,1,-,1,-,1,3,5,8,16,56,59,70,(6),(6),(6),38,9,17,8,1,4,13,-,9,15,11,32,18
19,(b) Non-pulmonary,15,16,10,377,408,351,-,-,-,-,-,-,-,-,-,2,1,-,2,6,1,(6),(6),(6),2,4,-,3,1,1,5,..,1,1,4,2,19
20,Typhoid and paratyphoid,14,9,10,280,220,305,-,-,-,-,-,-,-,-,-,-,-,-,10,3,5,4,5,1,-,-,-,-,1,-,-,-,-,-,-,1,20
21,Undulant fever,4,2,3,103,83,89,-,-,-,-,-,-,-,-,-,..,..,..,2,1,2,1,-,1,1,-,-,-,-,-,..,..,..,-,1,-,21
22,Venereal diseases:,378,328,354,10564,11053,11256,4,4,7,-,-,-,8,16,8,5,11,8,78,65,99,47,40,63,25,30,34,25,53,37,73,73,61,113,36,89,22
23,"(a) Syphilis, primary",2,2,6,66,74,139,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,1,1,-,-,23
24,(b) '' secondary,1,-,2,29,32,77,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) '' other,28,36,50,1194,1584,1737,1,-,3,-,-,-,-,3,2,-,-,1,14,22,16,8,5,9,1,-,1,-,3,3,-,1,1,4,2,7,25
26,(d) Gonorrhoea,347,289,318,9272,9348,9371,3,4,5,-,-,-,8,12,6,5,11,4,63,43,75,39,35,50,23,30,32,25,49,34,73,71,57,108,34,83,26
27,(e) Other venereal diseases 8,-,1,-,3,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,27
28,Whooping cough,130,149,254,5499,8832,5364,-,-,-,1,3,-,-,4,9,-,-,-,61,85,63,14,14,67,6,10,8,5,5,8,3,1,23,40,27,17,28
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Type not specified. (7) Includes chancroid, granuloma inguinale and lymphogranuloma venereum.   .. Not reportable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diphtheria,18 (14),Measles,1244 (1627),"Meningitis, other",31 (55),"Poliomyelitis, with paralysis",375 (388),Smallpox,- (-),Undulant fever,10 (24),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Encephalitis, infectious",35 (38),Meningococcal infections,28 (25),"Poliomyelitis, acute",943 (902),"Poliomyelitis, without paralysis",377 (362),Typhoid fever,48 (53),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The number of cases of poliomyelitis reported for the current week is 943 as compared with 900 for the previous week. This number is less than the figure for the same week in all prior years since 1947. The number reported in Chicago for the current week (ended August 25) is 100 as compared with 133 for the previous week. This is the second successive week in which reported cases have been fewer in number. Fifty-eight of the 100 cases were paralytic, and there were 4 deaths. Information has been received that a larger proportion of the cases in Chicago are now occurring outside the high epidemic area. Incidence in the State of Illinois exclusive of Chicago is still rising.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ENTERED BY: Gabrielle MacKinnon on June 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
