DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended June 7, 1958, in comparison with the previous week 1, and the 5 year (1953-57) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
9,"Meningitis, Meningococcal",3,5,8,139,147,150,1,2,2,-,-,-,-,-,-,-,1,1,2,-,1,-,1,3,-,1,-,-,-,-,..,..,..,-,-,-,9,,,,,,,,,,,
10,Mumps,356,312,662,7964,17278,18236,..,..,..,..,..,..,12,4,39,..,..,..,59,106,159,149,157,326,91,28,22,..,..,..,..,..,..,45,17,106,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",4,9,11,32,46,110,-,-,-,-,-,-,-,-,-,-,2,-,1,1,-,1,-,1,1,1,-,-,-,-,1,-,-,-,5,5,11,,,,,,,,,,,
12,(a) With paralysis,4,6,4,26,29,66,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,1,1,1,-,-,-,-,1,-,-,-,4,3,12,,,,,,,,,,,
13,(b) Without paralysis,-,3,3,6,15,34,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,13,,,,,,,,,,,
14,Rubella,352,306,394,5100,13924,13924,-,-,-,..,..,..,..,..,..,..,..,..,13,6,37,193,244,82,59,2,3,..,..,..,54,38,36,33,16,41,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",140,150,213,5628,5117,7514,12,23,-,10,11,5,12,10,31,-,-,2,11,7,43,63,60,76,3,11,3,-,18,6,26,-,17,3,10,22,15,,,,,,,,,,,
16,Smallpox,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,,,,,,,,,,,
17,"Tuberculosis: 4,6",169,134,223,3454,3713,4138,16,7,9,-,1,1,-,1,1,11,18,19,86,52,86,27,28,27,7,11,10,2,-,8,3,4,16,17,12,23,17,,,,,,,,,,,
18,(a) Pulmonary,133,96,173,2688,2840,3317,16,7,9,-,1,1,-,1,1,9,18,18,85,49,84,(7),(7),(7),4,9,10,2,-,8,3,4,14,14,7,23,18,,,,,,,,,,,
19,(b) Non-pulmonary,9,10,8,243,251,251,-,-,-,-,-,-,-,-,-,2,-,-,1,3,3,(7),(7),(7),3,2,-,-,-,1,-,-,1,3,5,3,19,,,,,,,,,,,
20,Typhoid and paratyphoid,6,5,8,130,129,178,-,-,-,-,-,-,-,-,-,-,-,-,6,4,5,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,20,,,,,,,,,,,
21,Undulant fever,4,6,3,43,56,53,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,-,1,1,-,2,-,-,-,-,..,..,..,-,-,1,21,,,,,,,,,,,
22,Venereal diseases:,295,316,311,7249,7350,7415,10,14,7,-,-,1,9,6,13,4,6,6,63,85,74,28,40,55,19,27,21,28,18,27,62,67,46,72,53,61,22,,,,,,,,,,,
23,"(a) Syphilis, primary",1,-,1,41,63,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,23,,,,,,,,,,,
24,(b) '' secondary,-,-,1,23,23,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,,,,,,,,,,,
25,(c) '' other,44,53,42,866,978,1037,-,1,-,-,-,-,4,-,2,2,1,1,18,29,17,3,10,10,2,2,1,1,1,1,4,4,1,10,5,4,25,,,,,,,,,,,
26,(d) Gonorrhoea,250,263,266,6318,6282,6273,10,13,7,-,-,1,5,6,11,2,5,4,45,56,59,25,30,43,17,25,18,27,17,26,57,63,43,62,48,53,26,,,,,,,,,,,
27,(e) Other venereal diseases 8,-,-,-,1,4,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,,,,,,,,,,,
28,Whooping cough,222,74,143,2825,3261,3901,-,-,-,4,6,-,101,2,11,-,-,-,23,10,52,28,33,23,21,3,6,1,-,5,8,9,10,36,11,15,28,,,,,,,,,,,
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Nova Scotia reports cases of tuberculosis monthly (weekly figures are preliminary: for this disease the 1958 cumulative totals for Canada include cases for Nova Scotia up to the end of the previous calendar month. (7) Type not specified. (8) Includes chancroid, granuloma inguinale and lymphogranuloma venereum. .. Not reportable. (9) Report not received ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria, - (11),Measles, - (24083),"Meningitis, other", - (21),"Poliomyelitis, with paralysis", - (17),Typhoid fever, - (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Encephalitis, infectious", - (31),Meningococcal infections, - (42),"Poliomyelitis, acute", - (41),"Poliomyelitis, without paralysis", - (19),Undulant fever, - (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report for current week not received.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTERED BY: Gabrielle Mackinnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
